admin_2,age_group,scenario_name,metric,value,intervention
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC,IMPACT_nUncompCum,11891.7592334175,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,283.137124605178,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,4247.05686907766,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,2548.2341214466,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,2548.2341214466,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,4732.43479697225,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,5945.87961670871,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_Vaccine,IMPACT_nUncompCum,943.790415350612,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_Vaccine,IMPACT_nUncompCum,14156.8562302589,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_Vaccine,IMPACT_nUncompCum,8494.11373815535,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_Vaccine,IMPACT_nUncompCum,8494.11373815535,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_Vaccine,IMPACT_nUncompCum,15774.7826565742,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC,IMPACT_nUncompCum,12583.8722046746,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC,IMPACT_nUncompCum,7550.32332280472,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC,IMPACT_nUncompCum,14022.0290280659,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC,IMPACT_nUncompCum,11325.4849842071,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC_Vaccine,IMPACT_nUncompCum,6291.93610233728,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC_Vaccine,IMPACT_nUncompCum,3775.16166140238,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC_Vaccine,IMPACT_nUncompCum,3775.16166140238,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC_Vaccine,IMPACT_nUncompCum,7011.01451403297,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_PMC_Vaccine,IMPACT_nUncompCum,5662.74249210355,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC,IMPACT_nUncompCum,9437.90415350592,IRS
