intervention,admin_2,age_group,mean_impact,n_obs,quantile_value,quantile_numeric
PMC,Chunya District Council,0-100,980.616600205019,126,20-40%,2
PMC,Chunya District Council,0-5,58.0914712937362,126,0-20%,1
PMC,Itigi District Council,0-100,7435.54408337146,127,60-80%,4
PMC,Itigi District Council,0-5,735.113428388247,127,60-80%,4
PMC,Kongwa District Council,0-100,17932.8689288014,126,80-100%,5
PMC,Kongwa District Council,0-5,1683.67580967041,126,80-100%,5
PMC,Mbulu Town Council,0-100,5660.30778828205,126,40-60%,3
PMC,Mbulu Town Council,0-5,444.661869703316,126,40-60%,3
PMC,Morogoro Municipal Council,0-100,899.697981420404,126,0-20%,1
PMC,Morogoro Municipal Council,0-5,141.964030216256,126,20-40%,2
PMC,Msalala District Council,0-100,6937.02588203854,126,60-80%,4
PMC,Msalala District Council,0-5,627.914937837115,126,40-60%,3
PMC,Rorya District Council,0-100,15506.0601246682,126,80-100%,5
PMC,Rorya District Council,0-5,3041.40834270484,126,80-100%,5
PMC,Shinyanga Municipal Council,0-100,906.808632142151,126,20-40%,2
PMC,Shinyanga Municipal Council,0-5,66.3619808329348,126,20-40%,2
SMC,Bunda District Council,0-100,6716.24852848789,126,40-60%,3
SMC,Bunda District Council,0-5,767.131588783939,126,60-80%,4
SMC,Butiama District Council,0-100,564.088018960984,127,0-20%,1
SMC,Butiama District Council,0-5,72.1665530582724,127,0-20%,1
SMC,Chunya District Council,0-100,1137.66860600667,127,20-40%,2
SMC,Chunya District Council,0-5,67.3951911009909,127,0-20%,1
SMC,Itigi District Council,0-100,8636.08387466257,126,60-80%,4
SMC,Itigi District Council,0-5,853.804530478029,126,60-80%,4
SMC,Kongwa District Council,0-100,20921.680416935,126,80-100%,5
SMC,Kongwa District Council,0-5,1964.28844461548,126,80-100%,5
SMC,Mbulu Town Council,0-100,6603.69241966239,126,40-60%,3
SMC,Mbulu Town Council,0-5,518.772181320535,126,40-60%,3
SMC,Morogoro Municipal Council,0-100,1049.64764499047,126,0-20%,1
SMC,Morogoro Municipal Council,0-5,165.624701918965,126,20-40%,2
SMC,Msalala District Council,0-100,8045.68301045445,127,60-80%,4
SMC,Msalala District Council,0-5,728.266642401806,127,40-60%,3
SMC,Rorya District Council,0-100,17989.3864880776,127,80-100%,5
SMC,Rorya District Council,0-5,3528.49593675569,127,80-100%,5
SMC,Shinyanga Municipal Council,0-100,1057.94340416584,126,20-40%,2
SMC,Shinyanga Municipal Council,0-5,77.4223109717573,126,20-40%,2
STD_Nets,Bunda District Council,0-100,4310.25878042274,96,40-60%,3
STD_Nets,Bunda District Council,0-5,492.31883726019,96,60-80%,4
STD_Nets,Butiama District Council,0-100,359.806488612334,96,0-20%,1
STD_Nets,Butiama District Council,0-5,46.0318127284116,96,0-20%,1
STD_Nets,Chunya District Council,0-100,726.85815917776,96,20-40%,2
STD_Nets,Chunya District Council,0-5,43.0588875200205,96,0-20%,1
STD_Nets,Itigi District Council,0-100,5542.34349597724,96,60-80%,4
STD_Nets,Itigi District Council,0-5,547.942569225649,96,60-80%,4
STD_Nets,Kongwa District Council,0-100,12934.7888006992,94,80-100%,5
STD_Nets,Kongwa District Council,0-5,1214.41756438403,94,80-100%,5
STD_Nets,Mbulu Town Council,0-100,4082.72017595538,94,40-60%,3
STD_Nets,Mbulu Town Council,0-5,320.729906361995,94,40-60%,3
STD_Nets,Morogoro Municipal Council,0-100,648.942643828609,94,0-20%,1
STD_Nets,Morogoro Municipal Council,0-5,102.397154378024,94,20-40%,2
STD_Nets,Msalala District Council,0-100,5131.98092349443,96,60-80%,4
STD_Nets,Msalala District Council,0-5,464.528680929514,96,40-60%,3
STD_Nets,Rorya District Council,0-100,11474.624113605,96,80-100%,5
STD_Nets,Rorya District Council,0-5,2250.66955938089,96,80-100%,5
STD_Nets,Shinyanga Municipal Council,0-100,677.89649478963,96,20-40%,2
STD_Nets,Shinyanga Municipal Council,0-5,49.6097551339708,96,20-40%,2
Vaccine,Bunda District Council,0-100,3617.89281344488,190,40-60%,3
Vaccine,Bunda District Council,0-5,413.236623132055,190,60-80%,4
Vaccine,Butiama District Council,0-100,305.510743216457,190,0-20%,1
Vaccine,Butiama District Council,0-5,39.0854911274541,190,0-20%,1
Vaccine,Chunya District Council,0-100,616.282396701086,190,20-40%,2
Vaccine,Chunya District Council,0-5,36.5084082293847,190,0-20%,1
Vaccine,Itigi District Council,0-100,4687.73151143387,190,60-80%,4
Vaccine,Itigi District Council,0-5,463.45154357168,190,60-80%,4
Vaccine,Kongwa District Council,0-100,11341.3388368247,190,80-100%,5
Vaccine,Kongwa District Council,0-5,1064.81221296216,190,80-100%,5
Vaccine,Mbulu Town Council,0-100,3579.7656695367,190,40-60%,3
Vaccine,Mbulu Town Council,0-5,281.218858630133,190,40-60%,3
Vaccine,Morogoro Municipal Council,0-100,568.998730688767,190,0-20%,1
Vaccine,Morogoro Municipal Council,0-5,89.7827433923812,190,20-40%,2
Vaccine,Msalala District Council,0-100,4357.99381210699,190,60-80%,4
Vaccine,Msalala District Council,0-5,394.47011733212,190,40-60%,3
Vaccine,Rorya District Council,0-100,9743.07315745494,190,80-100%,5
Vaccine,Rorya District Council,0-5,1911.03760377694,190,80-100%,5
Vaccine,Shinyanga Municipal Council,0-100,569.783555418793,190,20-40%,2
Vaccine,Shinyanga Municipal Council,0-5,41.697844554369,190,20-40%,2
